id,life_stage,theme,summary,quote,emotion,values,sociological_note,type,institution,housing_promised,market_participation,collapse_context,region
11,"Взрослая жизнь, работающий возраст",Самостоятельность и поиск поддержки,"Респондентка воспитана в духе самостоятельности: сначала решает проблемы сама, только потом советуется с близкими. Аналогичный подход у других членов семьи.","Во-первых, меня так воспитали, что я трудность должна решить сама. То есть если будет какая-то проблема, я должна найти выходы. Я могу только посоветоваться.","Уверенность, независимость","Самостоятельность, ответственность, рациональность",Установка на самостоятельное преодоление трудностей типична для семей с высоким уровнем ответственности и взаимного уважения.,декларация,,,,True,
1,"Взрослая жизнь, зрелость",Эмоциональное состояние и одиночество,"Респондентка рассказывает о своих эмоциональных переживаниях, связанных с отсутствием отношений и чувством одиночества. Она отмечает, что иногда испытывает потребность в поддержке, но вынуждена полагаться на себя.","Сам себе нужно, должна сама себе помогать, сама себя любить.","Грусть, легкая обида, принятие","Самостоятельность, самопомощь, честность с собой","Респондентка демонстрирует типичную для современных городских женщин установку на самостоятельность и самоподдержку, что может быть связано с изменением гендерных ролей и ростом индивидуализма.",декларация,,,,,
2,"Взрослая жизнь, зрелость",Формирование круга общения,"Респондентка не задумывалась о причинах формирования своего круга общения, предполагает, что это связано с особенностями нервной системы и личной тревожностью.",У меня даже такой мысли не приходило. Не знаю. У меня даже нет ответа на этот вопрос.,"Растерянность, неуверенность","Саморефлексия, принятие себя",Отсутствие рефлексии по поводу социальных связей может говорить о внутренней сосредоточенности и/или о недостатке доверия к окружающим.,декларация,,,,,
3,"Взрослая жизнь, зрелость",Здоровье и забота о себе,"Респондентка уделяет большое внимание питанию и спорту, отмечает положительное влияние здорового образа жизни на самочувствие и внешний вид. Вдохновляется примером коллег по работе.","Я начала в спортшколу ходить, и там тренера все молодые, и они очень развивают эту тему и обсуждают. Меня восхищает то, что я там работаю, и что я погрузилась в эту тему более глубоко.","Вдохновение, удовлетворение","Здоровье, саморазвитие, дисциплина",Видна тенденция к перенятию здоровых практик через профессиональное окружение и социальное подражание.,эпизод,спортшкола,,,,
4,"Взрослая жизнь, зрелость",Отношение к алкоголю и здоровому образу жизни,"Респондентка употребляет алкоголь редко, в основном по праздникам, и не считает это проблемой. Она контролирует количество выпитого и не видит смысла полностью отказываться от алкоголя.","Я контролирую это, я вижу, я могу, например, в компании быть, я вижу, кто-то перебрал, я себе такого не разрешаю, но отказаться полностью от спиртных напитков, ну пока не вижу зачем, не понимаю зачем.","Уверенность, спокойствие","Умеренность, контроль, удовольствие от жизни","Респондентка демонстрирует рациональный подход к употреблению алкоголя, что характерно для людей с медицинским образованием и высоким уровнем самоконтроля.",декларация,,,,,
5,"Взрослая жизнь, зрелость",Влияние спорта на здоровье,"Занятия спортом помогли респондентке улучшить физическое и эмоциональное состояние, снизить частоту заболеваний и повысить качество жизни.","Я начала спортом заниматься, я стала реже болеть, стала лучше.","Удовлетворение, гордость","Здоровье, активность, самосовершенствование","Спорт рассматривается как способ саморегуляции и профилактики заболеваний, что отражает современные тренды заботы о себе.",эпизод,,,,,
6,Профессиональная зрелость,Отношение к официальной и народной медицине,"Респондентка, имея медицинское образование, разочаровалась в формальном подходе к лечению и теперь сочетает методы официальной и народной медицины.","Без фанатизма к традиционной, без фанатизма к народной, но и то, и то использую равноценно.","Скепсис, прагматизм","Рациональность, открытость новому опыту",Комбинирование разных подходов к лечению характерно для людей с критическим мышлением и профессиональным опытом в медицине.,декларация,медицинский институт,,,,
7,Профессиональная зрелость,Опыт взаимодействия с медицинскими учреждениями,"Респондентка выбирает врача по личному доверию, а не по типу учреждения. Практикует благодарность врачам вне зависимости от формата оказания услуг.","Это бесплатно, но в карман я ей плачу. специалист.","Прагматизм, реализм","Доверие, благодарность, профессионализм",Ситуация с неформальными платежами в медицине отражает особенности российской системы здравоохранения и дефицит доверия к институтам.,эпизод,государственная и частная клиника,,,,
8,Профессиональная зрелость,Доступность и качество медицины в России,"Респондентка отмечает сложности с поиском хороших специалистов и дороговизну лечения, особенно диагностических процедур. Критически относится к назначению большого количества исследований.","Я же не миллионер, чтобы каждый раз делать до исследования, до чего-то КТ, и после того, как ты принял лекарство КТ.","Раздражение, усталость","Рациональность, экономность, самостоятельность",Высокая стоимость и бюрократия в медицине формируют у респондентов стратегию самостоятельного поиска информации и критического отношения к врачам.,эпизод,,,частично (оплата КТ и других услуг),,
9,Профессиональная зрелость,Отношение к вакцинации и просвещению,"Респондентка положительно относится к вакцинации, но отмечает низкий уровень приверженности к прививкам среди молодых коллег из-за отсутствия просвещения.",Прививаются только люди из СССР. Я сделала вывод такой.,"Удивление, разочарование","Здравомыслие, ответственность, профессионализм",Поколенческие различия в отношении к вакцинации связаны с изменением системы образования и снижением доверия к официальной информации.,декларация,спортшкола,,,,
10,"Взрослая жизнь, зрелость",Психологическое благополучие и тревожность,"Респондентка характеризует себя как тревожного человека, склонного к самокритике и эмоциональным реакциям. Спорт и еда помогают ей справляться со стрессом.","У меня тревожный тип нервной системы, меня успокаивает спорт, меня успокаивает еда, у меня успокаивает сладкое.","Тревожность, самоирония","Саморефлексия, поиск баланса, честность","Тема тревожности и саморегуляции актуальна для современных женщин, сталкивающихся с высокими требованиями к себе и социальной неопределенностью.",декларация,,,,,
11,"Взрослая жизнь, зрелость",Опыт обращения к психотерапии,"Респондентка проходила курс психотерапии с целью разобраться в себе и решить личные проблемы, но не получила ожидаемого результата и прекратила посещения из-за высокой стоимости и отсутствия эффекта.","Я замуж выйти хотела, я ходила к ней, толку не было, замуж не вышла.","Разочарование, ирония","Самоанализ, рациональность, экономия",Скептическое отношение к психотерапии может быть связано с недостатком доверия к психологическим практикам и высокой стоимостью услуг.,эпизод,,,платные услуги психотерапевта,,
1,Взрослая самостоятельная жизнь,Отношения с близкими и забота о здоровье,"Респондентка обсуждает, как заботится о здоровье близких, активно участвует в решении медицинских вопросов, сталкивается с сопротивлением родственников, но старается не навязывать свою волю.","Я сделала всё, что могла. Он взрослый человек, признаков воспаления нет, понаблюдаем до завтра. Ну и вот так каждый день потихонечку с собой разговаривая, его не нервируя.","Забота, тревога, принятие","Ответственность, самостоятельность, уважение к личным границам других","Респондентка демонстрирует высокий уровень ответственности за здоровье близких, но также уважает их автономию. Важно, что забота не превращается в гиперопеку, а сопровождается рефлексией и анализом ситуации.",эпизод,"Семья, неформальные сети поддержки",,,,
2,Взрослая самостоятельная жизнь,Отношение к собственному здоровью и будущему,"Респондентка не испытывает тревоги по поводу будущего здоровья, считает себя достаточно молодой, ориентируется на самостоятельность и регулярные обследования.","Я сама должна о себе заботиться. Я же обследуюсь каждый раз. У нас где-то периодически медосмотры. Я стараюсь быть, прислушиваясь к своему организму.","Уверенность, спокойствие","Самостоятельность, ответственность, профилактика","Видна установка на самоконтроль и профилактику, а также стремление не быть обузой для окружающих. Присутствует рациональный подход к вопросам здоровья.",декларация,"Медицинские учреждения, индивидуальные практики",,,,
3,Взрослая самостоятельная жизнь,Финансовая самостоятельность и стратегия,"Респондентка работает на четырех работах, обеспечивает себя, платит ипотеку, откладывает деньги на медицинские нужды, стремится к финансовой стабильности.","Ну, с четырьмя работами всё хорошо... Я живу на квартире, я клачу коммуналку, ипотеку и делаю ремонт по чуть-чуть.","Усталость, гордость, реализм","Трудолюбие, независимость, финансовая грамотность",Множественная занятость и ориентация на финансовую подушку свидетельствуют о высокой степени самостоятельности и адаптации к экономическим реалиям. Ипотека — важный элемент экономической стратегии.,узел,,,"Ипотека, рынок труда, рынок аренды жилья",,
4,Взрослая самостоятельная жизнь,Потребительское поведение и отношение к покупкам,"Респондентка экономит на развлечениях и одежде, предпочитает покупать продукты на рынке, избегает спонтанных покупок и онлайн-маркетплейсов, ценит качество и отечественного производителя.","Я не разрешаю себя. Это спонтанные, хаотичные, глупые покупки. Я не разрешаю себя.","Сдержанность, рациональность","Финансовая дисциплина, качество, осознанность",Потребительское поведение респондентки характеризуется высокой степенью самоконтроля и ориентацией на рациональное потребление. Отказ от маркетплейсов и брендов — реакция на прошлый опыт и стремление к финансовой стабильности.,декларация,,,"Рынок продуктов, рынок одежды, отказ от онлайн-торговли",,
5,Взрослая самостоятельная жизнь,Опыт с кредитами и ипотекой,"Респондентка взяла ипотеку на жилье, что стало для нее стрессом, но считает это необходимой мерой для сохранения сбережений и достижения самостоятельности.","Я бы никогда не собрала такую... Ну, как бы... Мне было бы сложно себя мотивировать. То есть я уже давно собираю и Все время было много спонтанных покупок, а случилось СВО, и я поняла, что мне нужно прятать деньги, поэтому я купила жилье.","Тревога, облегчение, рационализация","Безопасность, самостоятельность, финансовая грамотность","Ипотека воспринимается как вынужденная, но рациональная мера в условиях экономической нестабильности. Стресс от кредита компенсируется чувством защищенности и собственности.",перелом,,True,"Ипотечный рынок, рынок недвижимости",,
6,Взрослая самостоятельная жизнь,Отношение к образованию и инвестициям в себя,"Респондентка получила образование на бюджетной основе, но осознает, что в будущем может понадобиться платить за дополнительное обучение.","Нет, у меня полностью бюджетное образование, но сейчас я понимаю, что если я что-то захочу, но вот я об этом думаю, то придётся платить за свои деньги.","Благодарность, осознанность","Образование, самостоятельность, инвестиции в себя","Поколенческий сдвиг: ранее образование было бесплатным, сейчас респондентка готова инвестировать в себя, если потребуется. Это отражает изменение образовательного рынка.",декларация,Государственные образовательные учреждения,,,,
7,Взрослая самостоятельная жизнь,Гендерные роли и семейные финансы,"Респондентка размышляет о распределении финансовых ролей в семье, не имеет однозначной позиции, отмечает влияние информационного поля и личного опыта сестры.","Я уже много всяких роликов смотрела, они все говорят, что каждый сам за себя должен платить, мужчина не обязан за тебя платить.","Сомнение, рефлексия","Равноправие, самостоятельность, критическое мышление","Респондентка находится в поиске собственной позиции по вопросу гендерных ролей в финансах, опирается на современные дискуссии и примеры из окружения.",декларация,,,,True,
8,Взрослая самостоятельная жизнь,Деньги как ценность и инструмент,"Деньги для респондентки — это безопасность, свобода и возможности. Она стремится к финансовой независимости и видит в деньгах ресурс для реализации своих целей.","Конечно, безопасность, свобода. С деньгами можно больше. Но у меня это возможности.","Уверенность, прагматизм","Безопасность, свобода, возможности","Финансовая независимость воспринимается как ключ к свободе и расширению жизненных возможностей. Деньги — не самоцель, а инструмент.",декларация,,,,,
9,Взрослая самостоятельная жизнь,Финансовые амбиции и самооценка,"Респондентка считает, что могла бы зарабатывать больше, если бы обладала большими знаниями или лучше распоряжалась временем. Для комфортной жизни называет сумму 200 тысяч рублей в месяц.","Ну, наверное, я мало знаю. Или неправильно расходую время. Ну, конечно, хотела бы больше. Однозначно.","Самокритика, амбициозность","Развитие, самосовершенствование, реализм","Респондентка осознает ограничения своих доходов и связывает их с личными ресурсами, а не только с внешними обстоятельствами. Присутствует установка на развитие.",декларация,,,,,
1,"Взрослая жизнь, период выплаты ипотеки",Финансовые ожидания и ипотека,"Респондент рассуждает о том, какая сумма денег могла бы порадовать, связывает финансовые ожидания с возможностью быстрее закрыть ипотеку.","Если бы поработала или была бы премия в 500 тысяч, я бы быстрее закрыла ипотеку, я бы, конечно, порадовалась.","Сдержанная надежда, прагматизм","Финансовая стабильность, ответственность","Для респондента финансовые бонусы напрямую связаны с решением жилищных вопросов, ипотека воспринимается как значимое обязательство.",декларация,,,"Ипотека, ожидание премий",,
2,Взрослая жизнь,Взаимодействие с государственными органами: эволюция сервисов,"Респондент отмечает, что с появлением МФЦ и электронных госуслуг стало проще решать бюрократические вопросы, сравнивает с прошлым опытом.","Раньше, чтобы получить паспорт, тебе надо прийти в 5 утра, занять очередь... А сейчас записался на госуслугах, и тебя ждут на сдачную минуту.","Облегчение, удовлетворение","Рациональность, технологичность, удобство","Переход к цифровым сервисам воспринимается как значительное улучшение качества жизни, снижается уровень стресса от бюрократии.",эпизод,"МФЦ, Госуслуги",,,,
3,Взрослая жизнь,Доверие к полиции и судебной системе,"Респондент не сталкивался с полицией, но не доверяет ей. Судебный опыт был негативным — проигрыш дела из-за недобросовестности другой стороны и недостатков системы.","Теперь поэтому надо проявлять бдительность, ответственность и верить только в себя. Тогда ты что-то получишь. А верить в наш суд, поэтому нельзя.","Разочарование, недоверие","Самостоятельность, осторожность","Негативный опыт взаимодействия с судами формирует недоверие к институтам, усиливает индивидуализм и осторожность.",перелом,"Суд, полиция",,,,
4,Взрослая жизнь,Социальная поддержка и льготы в семье,"Респондент отмечает, что родители получают пенсию, сестра — материнский капитал, который был использован для строительства дома. Проблем с получением льгот не было.","Да, получила, но я не разговаривала с ней по этому поводу. Да, они дом построили, по-моему, на эти деньги.","Нейтральность, дистанция","Семейная поддержка, государственные гарантии","Государственные льготы воспринимаются как часть семейной стратегии, но личное вовлечение респондента минимально.",эпизод,,Материнский капитал — строительство дома,,,
5,Взрослая жизнь,Бюрократические трудности и самостоятельность,"Респондент сталкивается с трудностями при оформлении документов (например, налоговый вычет), отмечает, что не умеет жаловаться, в отличие от сестры.","Пока собрала документы, сроки прошли.","Фрустрация, усталость","Самостоятельность, ответственность","Бюрократические барьеры приводят к потере возможностей, формируют привычку полагаться только на себя или на более активных родственников.",эпизод,,,Попытка получить налоговый вычет,,
6,Взрослая жизнь,Оценка работы МФЦ и госуслуг,"Респондент признаёт, что с МФЦ стало легче, но остаются проблемы с доступностью и необходимостью доказывать свою правоту.","Головная боль, но с ней легче.","Амбивалентность, легкая ирония","Рациональность, настойчивость","Даже современные сервисы не избавляют полностью от бюрократических сложностей, требуется активная позиция пользователя.",декларация,МФЦ,,,,
7,Взрослая жизнь,Работа в государственной структуре и идентичность,"Респондент работает в госструктуре и ощущает себя частью государства, что влияет на самоощущение и отношение к институтам.","Я же работаю в государственной структуре, поэтому я себя чувствую частью государства.","Умеренная гордость, спокойствие","Профессионализм, принадлежность",Работа в госсекторе формирует особую идентичность и отношение к государству как к своему работодателю.,декларация,Государственная структура,,,,
8,Взрослая жизнь,Доверие к государству и его функциям,"Респондент отмечает, что доверие к государственным органам выросло с низкого до среднего, но считает, что государство никому ничего не должно.","Оно ничего не должно. Интересная задача. Раньше думали, конечно, что государство должно, но поразмышляв, почитав, оказывается, государство ничего не должно.","Скепсис, философское принятие","Самостоятельность, критичность","Скептическое отношение к патернализму, переход к индивидуалистским установкам.",перелом,,,,,
9,Взрослая жизнь,Политическая дистанция и семейный опыт,"Респондент не интересуется политикой, но отмечает, что мама была чиновником и восхищается президентом. Сам респондент не вовлечён в политическую жизнь.","К сожалению, в политике я ничего не понимаю и не хочу в этом разбираться.","Безразличие, усталость","Личная автономия, уважение к семье",Политическая апатия сочетается с уважением к семейному опыту и дистанцированием от публичной сферы.,декларация,Семья чиновника,,,,
10,Взрослая жизнь,Информационное поведение и источники новостей,"Респондент получает новости из интернета и от сокурсников, не смотрит телевизор, не доверяет отдельным источникам, предпочитает проверять информацию.","У меня нет телевизора, я и не стремлюсь его получить, и там ничего не показывают. Там всё, что показывают, всё печалит.","Скепсис, усталость","Критичность, самостоятельность","Формируется индивидуальная стратегия поиска информации, недоверие к официальным каналам.",декларация,,,,,
11,Взрослая жизнь,Гражданское участие и отношение к выборам,"Респондент участвует в выборах, в том числе по служебной необходимости, отмечает модернизацию процесса (электронное голосование).","Мы, как представители государственной работы в государственной структуре, должны участвовать в этих голосованиях обязательно, чтобы обеспечить проверку работы этого приложения.","Прагматизм, равнодушие","Долг, ответственность","Гражданское участие обусловлено не внутренней мотивацией, а внешними требованиями и профессиональной принадлежностью.",эпизод,"Государственная структура, выборы",,,,
12,Взрослая жизнь,Отношение к внутренней и внешней политике,"Респондент не интересуется внешней политикой, отмечает развитие внутреннего туризма как позитивное направление.","Радует, что сейчас туризм внутри России развивается.",Умеренный оптимизм,"Прагматизм, локальный патриотизм",Внутренняя политика воспринимается через призму личного опыта и бытовых изменений.,декларация,,,,,
13,Взрослая жизнь,Оценка государственных монополий и расходования бюджета,"Респондент считает, что не может повлиять на монополии, и что государство везде неэффективно тратит деньги.","Отдать государству деньги, то есть да, это деньги, выброшенные на ветер, что в России, что за рубежом, вот так.","Пессимизм, безразличие","Скепсис, рациональность",Недоверие к государственным институтам и бюджетной политике носит универсальный характер.,декларация,,,,,
14,Взрослая жизнь,Роль чиновников и влияние семейного опыта,"Респондент отмечает, что благодаря чиновничьему подходу матери занимает административную должность, считает чиновников необходимым звеном.","Благодаря маминому подходу, чиновничью, я занимаю эту должность.","Гордость, благодарность","Профессионализм, ответственность",Семейная преемственность и уважение к административному труду формируют отношение к бюрократии как к профессиональной ценности.,узел,"Семья чиновника, административная работа",,,,
15,Взрослая жизнь,Отношение к социальной политике и распределению ресурсов,"Респондент считает, что невозможно выделить одну важную сферу, необходима система, но идеальной системы нет.","Поэтому должна быть какая-то система. А мы знаем, что идеальной системы нет. Наверное, для этого нужны чиновники.","Реализм, философское принятие","Системность, рациональность",Осознание сложности распределения ресурсов и необходимости бюрократического аппарата.,декларация,,,,,
16,"Взрослая жизнь, период СВО",Влияние военных действий на социальную сферу,"Респондент отмечает, что из-за войны все ресурсы уходят туда, и развитие социальной сферы невозможно.","А сейчас же война, все деньги идут туда, и мы всё время сдаёмся, туда отправляем. Как это может развиваться, когда идут военные действия? Как?","Тревога, разочарование","Мир, социальная справедливость","Военные действия воспринимаются как фактор, блокирующий развитие страны и социальной сферы.",перелом,,,,,
17,"Взрослая жизнь, период СВО",Личное отношение к СВО и его последствиям,"Респондента волнует вопрос лечения вернувшихся с СВО, отмечает отсутствие специалистов и баз для реабилитации.","Ну а кто будет лечить вот этих вот, которые в СВО вернутся? У нас же нет баз для лечения. Нет специалистов таких.","Беспокойство, тревога","Забота о людях, профессионализм","Профессиональная идентичность влияет на восприятие последствий военных действий, акцент на социальной ответственности.",эпизод,,,,,
18,"Взрослая жизнь, период СВО",Эмоциональное восприятие войны и безопасности,"Респондент и его окружение не хотят войны, живут в регионе, где есть угроза атак, получают тревожные сообщения.","Никто не хочет войны. Мы живем в Ростове, тут же постоянно пишут, аккуратно, беспилотниковая атака, будьте осторожны...","Тревога, усталость","Безопасность, мир",Жизнь в приграничном регионе усиливает тревожность и ощущение незащищённости.,эпизод,,,,,Ростов
19,"Взрослая жизнь, период СВО",Философское отношение к войне,"Респондент воспринимает войны как неизбежную часть истории, выражает фатализм.","Но мир без войны же не может существовать. Войны были, всегда будут.","Фатализм, усталость","Реализм, принятие","Формируется установка на неизбежность конфликтов, что снижает уровень личной тревожности, но и пассивизирует гражданскую позицию.",декларация,,,,,
1,Профессиональное становление,Работа в медицине и профессиональная идентичность,"Респондент работает в медицине, сталкивается с тяжелыми темами (минно-взрывные и огнестрельные ранения), отмечает, что это всегда было частью профессии. Только последние 2-3 года чувствует себя уверенным специалистом.","У нас учебник, мы разбираем минно-взрывные на работе и огнестрельные ранения. Это было всегда.","Спокойствие, принятие, некоторая усталость","Профессионализм, помощь людям, компетентность","Профессия врача формирует особое отношение к тяжелым жизненным ситуациям и смерти, а также требует длительного периода профессионального становления.",эпизод,Медицинское учреждение,,,True,
2,Современная повседневность,Использование цифровых технологий и социальных сетей,"Респондент активно использует интернет и мессенджеры для получения информации, обучения и отдыха. Не публикует свой контент, подписана только на новостные каналы. Отмечает, что соцсети заменили часть живого общения и знакомства происходят преимущественно онлайн.","С интернетом в обучении намного легче. Ты можешь визуализировать всё легче, легче. Можно любую книгу скачать, найти в электронном виде, купить.","Практичность, некоторая рефлексия, легкая тревожность","Доступ к информации, удобство, эффективность","Цифровизация повседневности приводит к изменению форм коммуникации и снижению доли живого общения, что респондент воспринимает как данность.",узел,,,"Покупки на Wildberries, использование платных сервисов только при выгоде",True,
3,Личная жизнь и социальные связи,Знакомства и общение,"Большинство новых знакомств происходит через интернет и сайты знакомств. Респондент принимает это как неизбежную часть современной жизни, но старается сохранять и офлайн-открытость.","70% знакомств происходит благодаря интернету, благодаря сайту знакомств. Поэтому уже все об этом знают, но это как данность надо принять в сегодняшний день.","Принятие, некоторая усталость, легкая ирония","Открытость, адаптация к изменениям, стремление к общению","Онлайн-знакомства становятся нормой для городских жителей, что влияет на структуру социальных связей.",узел,,,,True,
4,Финансовая самостоятельность,Покупка жилья и ипотека,"В прошлом году респондент взяла ипотеку, что стало для нее стрессом и вызвало бессонницу. Это событие подтолкнуло к развитию финансовой грамотности и планированию бюджета.","Я взяла ипотеку и не спала. Это первый раз, когда я не спала.","Тревога, стресс, мобилизация","Финансовая независимость, ответственность, самоконтроль","Покупка жилья через ипотеку — важный этап взросления и самостоятельности, сопровождающийся эмоциональными и поведенческими изменениями.",перелом,,True,,True,
5,Профессиональное развитие,Использование искусственного интеллекта и технологий в работе,"Респондент начинает внедрять искусственный интеллект в профессиональную деятельность (создание презентаций, автоматизация рутинных задач), положительно относится к новым технологиям.","Удобно, что искусственный интеллект тебе сделал какую-то базу, а ты добавил какую-то информацию на эти слайды, и уже у тебя новая презентация.","Интерес, оптимизм, прагматизм","Инновации, эффективность, профессиональный рост",Внедрение ИИ в профессиональную сферу становится частью адаптации к современным требованиям рынка труда.,эпизод,"Образовательное учреждение, медицинская сфера",,,True,
6,Рефлексия и ценности,Жизненные приоритеты и гармония,"Респондент стремится к гармонии между работой и личной жизнью, хочет быть грамотным специалистом и помогать людям, но не в ущерб себе. Важна возможность заботиться о себе и близких.",Гармонизировать внешний мир и мой мир. Чтобы они дружили.,"Рефлексия, усталость, стремление к балансу","Гармония, помощь, самореализация, забота о себе и близких","Современные профессионалы сталкиваются с необходимостью балансировать между карьерой и личной жизнью, что становится ключевой ценностью.",декларация,,,,True,
7,Переосмысление жизненного пути,Профессиональная зрелость и сомнения,"Респондент только недавно почувствовала себя уверенным специалистом, размышляет о долгом пути в медицине, сравнивает себя с ровесниками, у которых уже есть семья и жилье.","Учитывая медицину, что я на него только встала, я только почувствовала уверенность в себе как в специалисте. Вот только как может быть года два-три.","Сомнение, легкая неуверенность, надежда","Профессионализм, самореализация, сравнение с другими","Долгий путь профессионального становления в медицине может приводить к отсрочке других жизненных этапов (семья, жилье), что вызывает внутренние конфликты.",узел,,,,True,
8,Отношение к смерти и профессиональная деформация,Восприятие смерти и профессиональный взгляд,"Респондент часто думает о смерти, отмечает, что у врачей отношение к этой теме отличается от людей без медицинского образования. Приводит пример сокурсницы-патологоанатома.","Конечно, я много об этом думала. У меня сокурсница патологоанатом. Она объясняла, что она начала пить, я дома говорю, потому что она патологоанатом.","Философское принятие, некоторая тревога","Профессионализм, осознанность, психологическая устойчивость","Профессиональная деформация врачей проявляется в особом отношении к теме смерти, что влияет на личную и профессиональную идентичность.",эпизод,Медицинское сообщество,,,True,
009,Настоящее и будущее,"Планы, тревоги и надежды","Респондент строит планы на ремонт, получение новой специализации, увеличение дохода. Испытывает тревожность, считает, что нужно менять подход к жизни, развивать духовность. Старается надеяться на себя, чтобы помогать родителям.","Ну, повышенная тревожность, наверное, подход нервный. Надо изменить философский подход какой-то. Духовность. Говорят, надо духовность развивать.","Тревожность, надежда, усталость","Саморазвитие, забота о близких, финансовая стабильность","Поколенческие особенности: ориентация на саморазвитие, поиск баланса между личным и профессиональным, забота о родителях.",узел,,,,True,
