id,life_stage,theme,summary,quote,emotion,values,sociological_note,type,institution,housing_promised,market_participation,collapse_context,credit_usage,savings,delivery_usage,marketplaces,financial_planning
1,"Молодая семья, конец 1990-х",Финансовые трудности после замужества и рождения ребенка,"Респондентка рассказывает о тяжелом финансовом положении в конце 1990-х: муж не работал, жили на деньги, которые давала мама, питались очень скромно. Позже развелись.","Был период, что там мы жили, пока еще у нас не было детей, на 100 рублей, которые давала моя мама мне на неделю. Это был 1997 год... Я заварила огромную кастрюлю супа на неделю.","Сочетание усталости, грусти и некоторой ностальгии, но без отчаяния","Семья, выживание, забота о ребенке, благодарность за поддержку","Типичная для постсоветских 1990-х история: экономическая нестабильность, зависимость от родительской поддержки, гендерное распределение ролей (муж не работает, жена и мать берет на себя заботу о семье).",эпизод,"Семья, неформальная поддержка",0.0,"минимальная, вынужденная экономия",,,,,,
2,"Настоящее время, зрелый возраст",Траты и бюджет семьи,"Основные траты идут на желания и нужды дочери, на себя тратит меньше. Крупных кредитов и ипотеки нет, есть кредитная карта, которой пользуется для удобства.","Всякие пикости, да, вот на всякие там эти хотелки, на эти поездки, хотелки, вот это на все, да. Такие-то кроссовки мне нужны вообще, кроссовки мне только как уже не ходят, а потом мне нужны брюки, а потом мне нужна куртка там такая, простакая, то есть в основном на нее, на нас меньше, наверное.","Спокойствие, некоторая ирония, легкая усталость","Забота о детях, рациональность, умеренность","Показательна ориентация на нужды ребенка, а не свои, что типично для российских семей среднего класса. Кредиты используются осторожно, микрозаймы отвергаются.",декларация,,0.0,"активная, но сдержанная",,"есть кредитная карта, нет ипотеки",,,,
3,Настоящее время,Финансовое планирование и сбережения,"Сбережения делать не удается, деньги быстро расходуются, особенно из-за неожиданных трат. В прошлом году удавалось экономить больше.","Я бы сказала, сейчас не удаются. У меня 35 тысяч на карточке осталось. Я говорю, Слава, ну ты же вообще не серьезно.","Некоторая тревога, самоирония","Финансовая ответственность, стремление к стабильности",Отражает типичную ситуацию: даже при наличии дохода сбережения делать сложно из-за непредвиденных расходов и инфляции.,декларация,,,"пассивная, нет накоплений",,,False,,,
4,Настоящее время,Отношение к кредитам и финансовым организациям,"Кредитной картой пользоваться удобно, но микрозаймы не рассматриваются. Доверие к банкам выше, чем к другим организациям.","Кредитная карта удобная. Я знаю, мы это вообще для себя не рассматриваем. Мы никогда не были в микрозайме и не собираемся.","Уверенность, прагматизм","Осторожность, финансовая грамотность, недоверие к рисковым инструментам","Показательна разница в доверии к разным финансовым институтам: банки воспринимаются как легитимные, микрофинансовые организации — как опасные.",декларация,Банки,,осмотрительная,,,,,,
5,Настоящее время,Потребительские привычки: доставка и маркетплейсы,"Пользуется доставкой продуктов, но реже из-за подорожания. Активно покупает на маркетплейсах, особенно в Wildberries и Ozon.","Маркетплейс вообще там даже не сказать, сколько раз в неделю. Потому что это вообще бывает практически на каждый день.","Легкая усталость, прагматизм","Удобство, экономия времени, рациональность",Рост популярности маркетплейсов и доставки отражает изменение потребительских практик в городах. Однако рост цен ограничивает частоту использования.,декларация,,,активная,,,,снижается из-за роста цен,"['Wildberries', 'Ozon']",
6,Настоящее время,Финансовые ожидания и планирование,"Для комфортной жизни семье нужна сумма около 300 тысяч рублей в месяц. Финансы планируются ситуативно, исходя из текущих расходов.","Если говорить про семью, то 3300. тысяч. 300 Спасибо, это мне так интересно узнать, сколько нам хочется.","Открытость, реализм","Стабильность, комфорт, забота о семье","Ожидания по доходу выше среднего, что может говорить о завышенных стандартах или о реальных потребностях семьи с детьми.",декларация,,,,,,,,,ситуативное
7,"Раннее материнство, школьный возраст детей","Опыт взаимодействия с госучреждениями (полиция, больница)",Обращалась в полицию по поводу травмы дочери в школе. Опыт взаимодействия был положительным.,"Полиция приходила в школу, меня вызывали в полицию, и все вполне хорошо, нормально.","Спокойствие, удовлетворение","Безопасность, доверие к институтам","Положительный опыт взаимодействия с полицией редок для российских респондентов, что может говорить о специфике ситуации (дети, школа).",эпизод,"Полиция, школа, больница",,,,,,,,
8,Зрелый возраст,Опыт мошенничества и обращения в полицию,"Столкнулась с интернет-мошенничеством, потеряла деньги, обращалась в полицию, но результата не было. Также были попытки телефонного мошенничества.","Я привела 302 тысячи, потом за это заявляла в полицию. Потом, значит, что... Естественно, понятно, где какого результата.","Разочарование, ирония","Осторожность, недоверие, стремление к справедливости",Распространенность мошенничества и низкая эффективность полиции — типичная проблема для российских граждан.,эпизод,Полиция,,жертва мошенничества,,,,,,
9,Зрелый возраст,Опыт судебных разбирательств,"Был опыт обращения в суд по поводу кражи из квартиры. Девочки-воровки получили условный срок, респондентка не стала добиваться большего наказания.","Я не хочу портить девочкам на жизнь. Пусть выплатят, и все. Портить жизнь мы не начали.","Сдержанность, милосердие","Справедливость, гуманизм, прощение","Готовность к компромиссу и прощению, нежелание портить судьбу подросткам — важная черта, связанная с личными ценностями и социальным капиталом.",эпизод,"Суд, полиция",,,,,,,,
10,Зрелый возраст,Воинский учет и армия в семье,"Муж не служил в армии из-за формальных причин, сын получил освобождение по здоровью. Семья активно взаимодействовала с военкоматом для получения нужных документов.","Мама тогда сказала, иди, бей ногами. Сухопутные войска, это годинная служба сухопутных войск, это самые тяжелые войска. Я сказала, бей ногами, вы же сказали так, я говорю, только не переживайте.","Тревога, решимость","Забота о семье, настойчивость, бюрократическая грамотность","Показательна активная позиция матери в вопросах воинского учета, что отражает распространенную практику защиты интересов детей в российских семьях.",узел,"Военкомат, медицинские учреждения",,,,,,,,
1,"зрелый возраст, текущее положение",Здоровье и доступность медицины,"Респондентка сталкивается с хроническими заболеваниями (онкология, диабет в семье), отмечает трудности с доступом к лекарствам и стоматологией. Обсуждает высокую стоимость лечения и нехватку социальной поддержки.","Я вот есть онкологически больная, да, вот мне-то какого-то лекарства в жизни необходимо было... Сейчас дядя, у него там сахарный диабет, лекарства стоят чуть больше тысячи. Я говорю, папа, давай купим. Он говорит, нет, еще покупать не буду. Тоже вот нет лекарств.","разочарование, тревога","здоровье, забота о близких, социальная защищённость","Респондентка иллюстрирует типичные проблемы российского здравоохранения: дороговизна лекарств, недостаточная поддержка хронически больных, сложности с получением качественной стоматологической помощи. Отмечается зависимость от семейных решений и ограниченность ресурсов.",эпизод,государственная и частная медицина,,потребитель медицинских услуг,,,,,,
2,"зрелый возраст, текущее положение",Доверие к медицине и опыт обращения,"Респондентка с осторожностью относится к частной медицине, предпочитает проверенных специалистов. Делится положительным опытом с отдельными врачами, но в целом отмечает разный уровень профессионализма.","Мне всегда рекомендуют, и с удовольствием пойду с ним сама, и с моими детьми... Врачи, на самом деле, они везде эти разные.","осторожный оптимизм, недоверие","компетентность, личный опыт, безопасность","Видна типичная для российского общества амбивалентность по отношению к частной медицине: с одной стороны, надежда на более качественную помощь, с другой — недоверие к мотивации и квалификации персонала.",декларация,частная и государственная медицина,,потребитель медицинских услуг,,,,,,
3,подростковый возраст (ретроспектива),Психологическая помощь в юности,"В подростковом возрасте респондентка переживала сильные эмоциональные потрясения из-за отношений, обращалась к психологу. Сейчас воспринимает этот опыт с иронией и дистанцией.","Я обращалась, но это было давно. Это было, слушайте, я была подростком, тогда, когда мы с мужем все... Муж хотел со мной расстаться... у меня такие истерики были. И он доводил меня к психологу.","ностальгия, ирония","эмоциональная устойчивость, личностный рост","Опыт обращения к психологу в подростковом возрасте воспринимается как нечто необычное и даже немного стыдное, что характерно для старших поколений, где психологическая помощь не была нормой.",эпизод,психологическая служба,,,,,,,,
4,"зрелый возраст, текущее положение",Стрессоустойчивость и духовные практики,"Респондентка отмечает, что научилась конструктивно справляться со стрессом, опираясь на духовные практики и внутренний диалог. Стремится быть примером для других.","Мне, как следующему человеку, нелегко обратиться к Богу, да, и ответы приходят какой-то. Я говорю, я намного спокойнее сейчас просто во всем реагирую.","уверенность, спокойствие","духовность, саморазвитие, пример для других","Духовные практики и внутренняя работа становятся для респондентки основным ресурсом преодоления трудностей, что отражает тенденцию к индивидуализации способов совладания со стрессом.",декларация,,,,,,,,,
5,"зрелый возраст, текущее положение",Ответственность и помощь другим,"Респондентка осознанно берет на себя ответственность за поддержку близких, получает от этого удовлетворение, несмотря на непонимание со стороны семьи.","Я сама взяла эту ответственность. Я сама ей предлагаю. Мне не просто помощь, я сама ей предлагаю... Мне с собой хорошо, мне с собой приятно. Я сама чувствую это удовлетворение.","удовлетворение, гордость","альтруизм, взаимопомощь, личная инициатива","Проявляется установка на активную социальную позицию и альтруизм, что может быть связано с семейными традициями и личным опытом. Отмечается конфликт между личными ценностями и ожиданиями близких.",декларация,"семья, неформальные сети поддержки",,,,,,,,
6,"зрелый возраст, текущее положение",Отношение к здоровому образу жизни,"Респондентка не придерживается строгих правил ЗОЖ, ориентируется на потребности организма, не склонна к самонаказанию за лишний вес. Помощь другим для нее важнее, чем забота о себе.","Нет, вот эти взрослые здоровые, несбалансированные находятся. Ну да, я как бы, это знаете, когда организм требует, то я и делаю, понимаете.","принятие, спокойствие","естественность, забота о других","Отражает распространённую среди женщин среднего возраста стратегию принятия себя и отказа от жёстких стандартов ЗОЖ, акцент на социальной роли и помощи другим.",декларация,,,,,,,,,
7,"зрелый возраст, текущее положение",Использование цифровых технологий и соцсетей,"Респондентка использует соцсети и мессенджеры по необходимости, не увлекается ими. Отмечает, что с появлением технологий часть общения перешла в онлайн, но личные контакты сократились.","Как В контакте сейчас я в сетку крайне редко иногда дойду... Социальные системы, сообщения, WhatsApp, Telegram. Вот это вот только у меня все.","нейтральность, легкая отстранённость","прагматизм, умеренность","Поколенческая дистанция в отношении цифровых технологий: респондентка использует их инструментально, не вовлечена в цифровую культуру, отмечает сокращение живого общения.",декларация,цифровые платформы,,пользователь цифровых сервисов,,,,,,
8,"зрелый возраст, текущее положение",Влияние технологий на семейные отношения,"Респондентка замечает, что дочь много времени проводит с телефоном, что вызывает недовольство. Отмечает плюсы и минусы: дети узнают больше, но иногда теряют интерес к живому общению.","То есть она все время с телефоном, даже когда она с адресом есть, она с телефоном. Поэтому она теперь ест у себя в комнате.","беспокойство, раздражение","семейные отношения, контроль, забота о детях","Проблема цифрового разрыва между поколениями: родители обеспокоены изоляцией детей, но признают и образовательные возможности интернета.",узел,"семья, цифровые технологии",,,,,,,,
9,"зрелый возраст, текущее положение",Роль интернета в образовании детей,"Респондентка отмечает, что благодаря интернету дети осваивают новые знания (например, английский язык), но иногда это приводит к поверхностности знаний.","Она из интернета все знает. Я сама на интернете, заранее с музыки, сама. Я вообще не знала никого другого.","удивление, легкая тревога","образование, самостоятельность детей","Родители сталкиваются с необходимостью переосмысления своей роли в образовательном процессе, интернет становится основным источником знаний для детей.",эпизод,"образовательные учреждения, интернет",,,,,,,,
10,"зрелый возраст, текущее положение",Влияние гаджетов на отношения между людьми,"Респондентка затрудняется однозначно оценить влияние гаджетов на отношения, приводит примеры из жизни своих детей: сын стал более замкнутым из-за компьютера, у дочери такого нет.","Сын у меня, вы же видите, сын в то время, когда не было еще телефонов, был только компьютер. И орган тогда как-то отдалился, вообще стал сраненым от людей.","озабоченность, неуверенность","общение, семейная сплочённость","Респондентка фиксирует различия в цифровой социализации детей, отмечая индивидуальные особенности и влияние технологий на коммуникацию.",узел,"семья, цифровые технологии",,,,,,,,
11,"зрелый возраст, текущее положение",Понимание устройства власти,"Респондентка демонстрирует базовое понимание различий между региональной и федеральной властью, воспринимает их как иерархию с делегированием полномочий.","Власти регионов, допустим, власти Питера, отвечают за все, что происходит в Питере. А федеральные власти отвечают за всю страну.","уверенность, спокойствие","структурированность, порядок","Понимание политической системы на уровне бытовых представлений, характерное для большинства граждан, без глубокого анализа функций институтов.",декларация,государственные органы,,,,,,,,
1,"Взрослая жизнь, зрелость",Восприятие государственных институтов и политической системы,"Респондент рассуждает о роли Центробанка, правительства, Госдумы, Совета Федерации и президента в управлении страной, отмечая сложность разделения функций и большую ответственность президента. Вспоминает общественные дискуссии о влиянии России в мире и страхе, который она внушает другим странам.","Держать в страхе весь мир, это многого стоит. Дай бог второму Владимиру Владимировичу.","Сдержанная гордость, уважение, некоторая тревога","Стабильность, сила государства, ответственность, патриотизм","Респондент демонстрирует типичное для части российского общества уважение к власти и президенту, оправдывает жесткую внешнюю политику как способ укрепления страны. Важно также наличие дистанции и некоторой иронии по отношению к официальной риторике.",декларация,"Центробанк, Правительство РФ, Госдума, Совет Федерации, Президент РФ",,,,,,,,
2,"Взрослая жизнь, зрелость",Международное положение России и личный опыт общения с иностранцами,"Респондент делится личными наблюдениями и историями знакомых о том, как Россия воспринимается за рубежом, отмечает негативное отношение, влияние пропаганды и трудности коммуникации между людьми из разных стран и регионов.","Многие уже негативно. потому что я сейчас некий за границей, И, да, то есть я могу точно свидетельствовать.","Огорчение, недоверие, настороженность","Правда, личный опыт, независимость суждений","Респондент опирается на личные контакты и рассказы знакомых, чтобы формировать мнение о международной ситуации, что типично для людей, не доверяющих официальным источникам. Отмечается разрыв между официальной и частной информацией.",эпизод,,,"Путешествия, личные контакты за границей",,,,,,
3,"Взрослая жизнь, зрелость",Влияние войны и политической ситуации на повседневную жизнь,"Респондент рассказывает о знакомых из Украины, Крыма, Донбасса, делится историями о жизни во время войны, обстрелах, ограничениях в коммуникации, страхе обсуждать политику даже в личных разговорах.","Когда я разговаривала с Олегом по WhatsApp, мы заговорили про политику, она сразу же услышала у себя телефонную прослушку.","Тревога, страх, сочувствие","Безопасность, честность, поддержка близких","Видна высокая степень недоверия к безопасности коммуникаций, страх перед возможными последствиями обсуждения политики. Это отражает атмосферу подозрительности и самоцензуры, характерную для общества в условиях конфликта.",эпизод,,,,True,,,,,
4,"Взрослая жизнь, зрелость",Социальные проблемы и доступ к государственным услугам,"Респондент обсуждает трудности с получением медицинской помощи, компенсаций, проблемы самозанятых, неравенство в доступе к льготам и социальным программам, а также сложности жизни в деревне и городе.","Мне нужно делать, собственно, мониторное КГ. Я записывалась в августе месяце, я до сих пор не подошла очень.","Разочарование, усталость, беспокойство","Справедливость, доступность медицины, забота о семье","Респондент сталкивается с типичными для современной России проблемами социальной сферы: бюрократия, недостаток ресурсов, неравенство между разными категориями граждан. Отмечается критика системы льгот для самозанятых.",эпизод,,0.0,"Самозанятость, получение социальных услуг",,,,,,
5,"Взрослая жизнь, зрелость",Оценка региональной власти и городской инфраструктуры,"Респондент выражает недовольство невидимостью губернатора, отмечает улучшение дорог, открытие метро, но критикует низкие детские выплаты и необходимость трат на дополнительное образование.","Я вот вообще не вижу, понимаете, вот нашего губернатора, я его вообще практически не вижу.","Недовольство, ирония, благодарность (за бесплатные кружки)","Открытость власти, качество городской среды, поддержка детей","Видна типичная для крупных городов дистанция между гражданином и региональной властью, а также противоречивое отношение к государственным услугам: благодарность за бесплатные кружки сочетается с критикой низких выплат.",декларация,Правительство Санкт-Петербурга,,,,,,,,
6,"Последний год, зрелость",Семейные трудности и личностные изменения,"В семье респондента возникла проблема алкоголизма, что стало толчком к духовному развитию, изменению взглядов, расширению круга общения и большей открытости к людям.",Я и муж больше углубились в духовное развитие за последний год. По-другому мы стали смотреть на вещь.,"Боль, надежда, благодарность, облегчение","Духовность, саморазвитие, поддержка семьи, открытость","Кризис в семье становится точкой роста и изменения идентичности, что типично для зрелого возраста. Респондент отмечает важность духовных практик и переосмысления отношений.",перелом,,,,True,,,,,
7,"Последний год, зрелость",Личностная ответственность и контроль над жизнью,"Респондент подчеркивает, что обстоятельства складываются не сами по себе, а человек сам их формирует, берет на себя ответственность за перемены в жизни.","Обстоятельства не могут сложиться, их человек сам складывает.","Уверенность, решимость","Ответственность, самостоятельность, активность",Смещение фокуса с внешних обстоятельств на внутреннюю работу и личную ответственность — характерный признак зрелой рефлексии и психологической зрелости.,декларация,,,,,,,,,
8,Настоящее и ближайшее будущее,Отношение к будущему и жизненные установки,"Респондент не строит долгосрочных планов, предпочитает жить настоящим, ориентируется на внутренние ощущения и этические нормы.","Я живу сегодняшним днём, то есть мне как бы хорошо, мне нравится идти.","Спокойствие, принятие, легкая ирония","Осознанность, этика, удовольствие от жизни",Отказ от долгосрочного планирования и ориентация на настоящее — типичная реакция на неопределенность и нестабильность внешней среды.,декларация,,,,,,,,,
1,"Зрелость, рефлексия над жизненным опытом",Открытость и искренность в общении,"Респондентка рассказывает о своей склонности к открытости и искренности в общении, отмечая, что старается не делать и не говорить того, о чём потом пожалеет. Она считает важным делиться своими чувствами и переживаниями, чтобы не накапливать негатив внутри.","Очень важно, чтобы были люди, которым ты можешь что-то дарить. Я очень мало таких людей, которым я не могу что-то дарить.","Уверенность, лёгкая грусть, принятие","Открытость, честность, забота о других, эмоциональное здоровье","Респондентка демонстрирует высокую степень рефлексии и осознанности, что характерно для зрелых личностей, прошедших через внутренние конфликты и научившихся их преодолевать через коммуникацию.",декларация,,,,True,,,,,
2,"Настоящее, период самопознания",Счастье через открытость и обмен опытом,"Собеседница отмечает, что счастье для неё связано с открытостью и возможностью делиться своими переживаниями с другими. Она получает радость от искренних разговоров и стремится передавать свой опыт, чтобы помочь другим людям достичь похожего состояния.","У меня это делается для счастья. Когда открываюсь, я понимаю, что есть же такой момент, что когда выгуришься, легче тебе.","Воодушевление, радость, вдохновение","Открытость, эмпатия, альтруизм, стремление к счастью",Важность горизонтальных связей и обмена опытом как способа поддержания психологического благополучия. Демонстрируется установка на коллективное счастье и взаимопомощь.,декларация,,,,True,,,,,
3,"Зрелость, преодоление страхов",Отношение к страхам и доверие к миру,"Респондентка говорит о том, что большинство страхов уже преодолены, и сейчас она практически не испытывает страха. Она легко справляется с обидами и отмечает высокий уровень доверия к миру и окружающим.","Я их уже заработала, эти страхи. Их очень мало. И даже сейчас, прямо так, на скидку, вот когда говорят, что я сейчас, если я чего поймусь, я даже не знаю, чего пойму. У меня вообще нет страхов.","Спокойствие, уверенность, лёгкость","Доверие, принятие, внутренний покой",Преодоление страхов часто связано с накопленным жизненным опытом и внутренней работой. Высокий уровень доверия к миру может быть связан с религиозными или духовными убеждениями.,декларация,,,,True,,,,,
4,"Зрелость, духовный поиск",Вера и её роль в жизни,"Респондентка подчёркивает важность веры в своей жизни, отмечая, что именно вера помогает ей справляться с трудностями и ощущать радость. Она говорит о том, что вера приносит неожиданные положительные события и внутреннюю поддержку.","Вера, она как бы, конечно, творит простудян, делает многое, и ты становишься, понимаешь, становишься просто, я себе не знаю, зачем же какую-то волшебницу, потому что происходят события, которые раньше вообще не происходили.","Вдохновение, благодарность, умиротворение","Вера, духовность, милосердие, радость жизни",Религиозность выступает как ресурс преодоления жизненных трудностей и источник внутренней гармонии. Вера интегрирована в повседневную жизнь и влияет на эмоциональное состояние.,декларация,церковь,,,True,,,,,
5,"Настоящее, завершение интервью",Рефлексия после беседы,"Респондентка отмечает, что разговор вызвал у неё радость, вдохновение и ощущение благодарности. Она не обнаружила новых инсайтов, но признательна за возможность открыто поговорить.","Вдохновленный какой-то, воодушевленный.","Благодарность, радость, лёгкость","Открытость, благодарность, искренность","Интервью становится для респондента не только исследовательским инструментом, но и способом эмоциональной поддержки и саморефлексии.",эпизод,,,,True,,,,,
006,"Настоящее, завершение интервью",Вспоминание забытых моментов,"В процессе интервью у респондентки всплывали в памяти моменты, которые она давно не вспоминала, но она не придаёт этому большого значения и не считает нужным их скрывать.","Были какие-то моменты, которые касаются кредитов, про кредитную карту банка, про то, что я забываю, про то, что я мучилась. даже про то, что я реально работала, я просто-просто забываю, потому что я это не скрываю.","Нейтральность, принятие","Открытость, честность","Память о трудных или рутинных эпизодах жизни не вызывает у респондентки сильных эмоций, что говорит о проработанности этих тем.",эпизод,,,"кредиты, банковские услуги",True,,,,,
