id,life_stage,theme,summary,quote,emotion,values,sociological_note,type,institution,housing_promised,collapse_context,market_participation
4,Молодость (18–30 лет),Переосмысление отношений с отцом,"После смерти отца респондент переосмыслил своё отношение к нему, отказался от прежней категоричности, начал искать причины поведения отца и проявил сочувствие.","Я уже вот эту вот мысль, что он плохой, что он ужасный, алкоголик я, папа, я убрал от себя. Я не точно полюбил, но, скажем так, я стал на это более трезво смотреть.","Сожаление, принятие, сочувствие","Понимание, зрелость, эмпатия","Переосмысление родительских фигур часто происходит после их смерти или с возрастом респондента. Это свидетельствует о взрослении, способности к рефлексии и поиску причинно-следственных связей.",перелом,семья,0.0,,False
5,Взрослая жизнь (настоящее время),Семейная жизнь и отношения с супругой,"Респондент женат на однокласснице, отношения стабильные, но есть различия в темпераменте, что приводит к конфликтам. Он склонен к рациональности, супруга — к эмоциональности.","Я человек рассудительный, логичный и привык всё анализировать и сдерживать трезво... А у нее наоборот. Она хочет все здесь и сейчас. Она очень эмоциональная девушка. И поэтому на этих разностях у нас возникает конфликт.","Спокойствие, принятие, иногда раздражение","Семья, стабильность, взаимопонимание","Различия в темпераменте супругов — частый источник конфликтов, но также и точка роста для отношений. Стабильность брака поддерживается за счет взаимного уважения и компромиссов.",узел,брак,1.0,,True
6,Взрослая жизнь (настоящее время),Родительство и отношения с сыном,"Респондент осознаёт важность своей роли как отца, стремится дать сыну здоровое детство и быть для него значимой фигурой, несмотря на сложности в коммуникации.","Для меня с тем подграундом, который я вам рассказал, вы должны понимать, насколько мне важно, чтобы у него было здоровое детство. Насколько важно, чтобы у него вообще был папа, то как минимум совершеннолетие.","Ответственность, забота, тревога","Забота о детях, ответственность, преемственность",Личный негативный опыт детства мотивирует респондента быть более вовлечённым и ответственным родителем. Это отражает межпоколенческую работу над ошибками.,декларация,семья,1.0,,True
7,Взрослая жизнь (настоящее время),Дружба и социальные связи,"Дружба с детства постепенно ослабла из-за разных жизненных путей и занятости. Сейчас круг общения небольшой, респондент предпочитает уединение и спокойствие.","Нет, у меня круг общения не очень большой. Я вообще по натуре больше интроверт скорее. Ну, и в моей работе тоже видно, потому что здесь нету коллектива. Здесь я сам при себе работаю.","Спокойствие, лёгкая грусть, принятие","Уединение, спокойствие, самодостаточность","С возрастом и изменением жизненных обстоятельств социальные связи сужаются, а ценность уединения возрастает. Это типично для интровертированных людей и для тех, кто работает вне коллектива.",декларация,"дружба, работа",0.0,,False
8,Взрослая жизнь (настоящее время),Здоровье и образ жизни,"Респондент отмечает улучшение здоровья после отказа от алкоголя, занимается спортом, следит за весом. Считает, что на здоровье больше всего влияет сон и стресс.","Здоровье сейчас стало получше. Очень здорово, что ушел алкоголь... Я за последние пару месяцев бросил 6 килограмм.","Удовлетворение, гордость, спокойствие","Здоровье, самоконтроль, дисциплина","Забота о здоровье становится приоритетом в зрелом возрасте, особенно после негативного опыта в семье. Отказ от вредных привычек и физическая активность — часть новой идентичности.",декларация,здоровье,0.0,,True
1,"Зрелый возраст, профессиональная занятость, семья",Здоровье и образ жизни,"Респондент осознанно относится к здоровью: старается соблюдать режим сна, занимается профилактикой заболеваний, предпочитает официальную медицину, но использует и народные средства. Считает важным не откладывать лечение, чтобы не терять работоспособность.","Мне лучше потратить деньги на лекарства, чем не работать неделю или полтора.","Рациональность, забота, умеренная тревожность","Здоровье, ответственность, самостоятельность","Респондент демонстрирует типичное для зрелого возраста сочетание рационального подхода к здоровью и привычек, сформированных в 90-е годы. Важна экономическая целесообразность и сохранение трудоспособности.",эпизод,Система здравоохранения,,True,"Платные медицинские услуги, частная медицина"
2,"Зрелый возраст, семья, профессиональная занятость",Эмоциональное состояние и семейные отношения,"Респондент переживает эмоциональные качели, связанные с ограничениями в жизни и семейными конфликтами, но уверен в способности справиться с трудностями. Отмечает важность работы над собой и верит в улучшение ситуации.","Где-то я сильно радуюсь, а где-то я сильно негативный. Плюс у меня есть семья, где я иногда переживаю.","Тревожность, надежда, уверенность","Семья, самоконтроль, оптимизм","Видна типичная для современного городского жителя борьба с эмоциональной нестабильностью, попытки балансировать между личными и семейными интересами.",эпизод,,,True,
3,"Зрелый возраст, рефлексия",Отношение к психологической помощи,"Респондент считает психологическую помощь крайне важной, особенно в образовательных учреждениях. Критически относится к формальному присутствию психологов в школах и выступает за интеграцию психологии в школьную программу.","Я считаю, что ваша профессия психолога должна быть как минимум в каждой школе.","Уверенность, критичность","Психологическое здоровье, образование, забота о детях","Отражает растущий запрос на психологическую грамотность и поддержку в обществе, а также недоверие к формальным институтам.",декларация,"Школа, система образования",,True,
4,"Зрелый возраст, личностный рост",Внутренние ресурсы и психологическая устойчивость,"Респондент отмечает наличие внутреннего запаса прочности, опирается на психологические знания, полученные в профессиональной среде, и использует их для саморегуляции и преодоления зависимостей.","У меня был опыт с людьми, которые научили меня психологии. Я этим применяю, работаю. Например, с этой помощью я бросил кушать.","Уверенность, благодарность","Саморазвитие, психологическая устойчивость",Показательна ориентация на саморазвитие и использование профессиональных навыков для личной жизни.,узел,,,True,
5,"Зрелый возраст, цифровая социализация",Зависимость от гаджетов и влияние технологий на ритм жизни,"Респондент осознает свою зависимость от гаджетов и YouTube, отмечает негативное влияние на режим сна и бодрость, связывает это с современной реальностью.","К сожалению, это моя такая большая зависимость, которая портит мой ритм жизни, я бы так сказал.","Самокритика, сожаление","Осознанность, стремление к самоконтролю","Типичная для современного общества проблема цифровой зависимости, осознание которой не всегда приводит к изменению поведения.",эпизод,,,True,
6,"Зрелый возраст, профессиональная и цифровая активность",Использование цифровых технологий и отношение к соцсетям,"Респондент активно использует смартфон и приложения для работы и личных нужд, предпочитает Telegram и YouTube, негативно относится к ВКонтакте из-за изменения аудитории и государственного контроля.","В контакте нет. Я ушел на работу год назад, это помойка.","Раздражение, прагматизм","Практичность, независимость, приватность","Проявляется критическое отношение к государственным и массовым цифровым платформам, предпочтение более закрытых и профессиональных каналов коммуникации.",эпизод,,,True,"Цифровые сервисы, мобильные приложения"
7,"Зрелый возраст, цифровая грамотность",Безопасность в интернете и отношение к платным сервисам,"Респондент сталкивался с мошенничеством в Telegram, скептически относится к платным подпискам и предпочитает искать контент самостоятельно, не доверяя обещаниям стриминговых сервисов.","Ты все равно не получаешь того, что тебе обещают. Их сейчас развилось столько, что как контекстная реклама в интернете.","Недоверие, осторожность","Безопасность, самостоятельность",Отражает растущее недоверие к цифровым сервисам и обеспокоенность вопросами кибербезопасности.,эпизод,,,True,
8,"Зрелый возраст, цифровая рефлексия",Отношение к искусственному интеллекту и новым технологиям,"Респондент настороженно относится к ИИ и чат-ботам, опасается манипуляций и подделок, хотя признает неизбежность их распространения.","Меня это настораживает. То есть представьте себе ситуацию, что мое источник может подрисовать с помощью чатных сетей, будет голос Путина.","Тревога, скепсис","Безопасность, критичность","Показательны опасения, связанные с развитием ИИ и возможностями фейков, что характерно для части взрослого населения.",декларация,,,True,
9,"Зрелый возраст, семейная жизнь",Влияние технологий на семейные отношения,"Респондент отмечает, что технологии могут как сближать, так и отдалять людей, в зависимости от меры использования и наличия общих интересов.","Если это чрезмерно, покажешь на таляне. Если это в меру и у вас есть общие интересы, то я вам хочу попробовать.","Взвешенность, рефлексия","Баланс, общение, семейные отношения","Осознанное отношение к цифровым практикам в семье, попытка найти баланс между пользой и вредом.",декларация,,,True,
10,"Зрелый возраст, гражданская позиция",Ожидания от цифровизации государственных услуг,"Респондент выступает за более глубокую цифровизацию государственных услуг, отмечает положительные изменения, но критикует сохраняющуюся бюрократию и неэффективность.","Вот эта возня с бумагами в поликлиниках, в полиции, еще в некоторых местах, она до сих пор присутствует.","Раздражение, надежда на улучшение","Эффективность, технологичность, прогресс","Позиция типична для активных горожан, сталкивающихся с противоречиями между современными сервисами и устаревшими бюрократическими практиками.",декларация,"Государственные органы, поликлиника, полиция",,True,
11,"Зрелый возраст, опыт взаимодействия с государством",Опыт обращения в полицию,"Респондент описывает опыт обращения жены в полицию по поводу мошенничества: отмечает формальное улучшение сервиса, но сохраняющуюся закрытость и недоверие к органам.","Полиция, с одной стороны, стала организованнее, какие-то вопросы она решала, стало лучше, но человечнее, я так скажу, она не стала.","Сдержанное разочарование, критичность","Открытость, человечность, справедливость","Демонстрирует типичное для россиян недоверие к государственным институтам, несмотря на отдельные улучшения.",эпизод,Полиция,,True,
1,"Взрослая самостоятельная жизнь, профессиональная деятельность",Взаимодействие с государственными органами и бюрократия,"Респондент рассказывает о трудностях, связанных с оплатой налогов и просрочками, а также о неэффективности и устаревшей инфраструктуре государственных учреждений. Описывает бюрократические проволочки, неинформированность и неудобства при взаимодействии с судебными приставами.","Я одно оплатил, мне другое. Я одно оплатил, мне другое. Вот. И эта вся история началась опять с этой бюрократии.","Раздражение, усталость, ирония","Самостоятельность, справедливость, прозрачность, эффективность","Респондент демонстрирует типичное для современных горожанина недоверие к государственным институтам, отмечает устаревшие практики и низкую клиентоориентированность госорганов. Важна тема цифровизации и ожидания более простых сервисов.",эпизод,"налоговая служба, судебные приставы",,True,самозанятый
2,"Взрослая жизнь, жилье и городская среда",Проблемы ЖКХ и локального самоуправления,"Респондент затрагивает тему ЖКХ, отмечает низкое качество городской среды, отсутствие прозрачности в расходовании средств и слабую связь между жителями и местной властью. Приводит пример конфликтов во дворе и неудовлетворенности состоянием инфраструктуры.","Если бы, возможно, была более прозрачная система оплаты, куда идут деньги, которые мы платим... больше какой-то контакт с властью, с представителями наших морей, я бы думал, были бы лучше.","Разочарование, усталость, критичность","Прозрачность, участие, коллективизм, комфорт",Респондент выражает типичную для российских городских жителей неудовлетворенность состоянием ЖКХ и низким уровнем вовлеченности граждан в управление территорией. Отмечается ностальгия по советским временам и запрос на большую прозрачность.,эпизод,"ЖКХ, районная администрация",0.0,True,
3,Последний год жизни (актуальный этап),Изменения в образе жизни и финансовом поведении,"Респондент отмечает, что за последний год ограничил потребление, сменил образ жизни, стал более финансово дисциплинированным. Оценивает изменения как положительные, несмотря на экономическую нестабильность.",Я ограничил свое потребление. Я сменил... образ жизни.,"Сдержанный оптимизм, адаптация","Саморазвитие, адаптивность, финансовая ответственность","Респондент демонстрирует стратегию адаптации к экономическим трудностям через самоконтроль и изменение привычек. Это типично для людей, сталкивающихся с нестабильностью.",эпизод,,,True,ограничение потребления
4,Настоящее и взгляд в будущее,Оценка будущего и личного оптимизма,"Респондент выражает осторожный оптимизм относительно личного будущего, но отмечает зависимость от внешних обстоятельств и экономической ситуации в стране и мире. Считает, что многое зависит от него самого, но не все подвластно контролю.","Мой личный оптимизм у меня присутствует внутри, насчет лично меня. То есть, если у меня есть задача, если у меня есть цели, если у меня сейчас что-то получается, я не буду считать, что я не буду получать.","Осторожный оптимизм, тревога, рефлексия","Личная ответственность, самостоятельность, реализм","Респондент демонстрирует индивидуалистский подход к жизни, но осознает ограниченность личного контроля в условиях макроэкономической и политической нестабильности.",декларация,,,True,
5,Рефлексия над жизненным путем,"Ценности, принципы и смысл жизни","Респондент формулирует свои жизненные принципы: честность, быть собой, не поддаваться внешнему воздействию. Смысл жизни видит в самореализации и следовании своим желаниям.",Любить себя и быть собой и не поддаваться внешнему воздействию.,"Уверенность, философская рефлексия","Честность, индивидуализм, самореализация, свобода","Респондент артикулирует ценности, характерные для современного индивидуализма, подчеркивает важность личной аутентичности и честности, даже если это мешает социальной адаптации.",декларация,,,True,
6,Переход к самозанятости,Профессиональная самостоятельность и свобода,"Респондент считает удачным решением переход на самозанятость, что дало ему больше свободы и возможности для самореализации. Отмечает, что раньше сожалел о некоторых поступках, но сейчас не хочет возвращаться к прошлому.","Удачно то, что я перешел с формата работы на формат хотя бы самозанятых. Это сильно... Я изначально вообще был самолюбивым человеком...","Гордость, удовлетворение, принятие","Свобода, самостоятельность, развитие","Переход к самозанятости — важный тренд последних лет, связанный с желанием контроля над своей жизнью и работы вне жестких рамок наемного труда.",перелом,,,True,самозанятый
7,Рефлексия и саморазвитие,Работа над собой и целеполагание,"Респондент размышляет о том, что хотел бы изменить в себе: режим сна, физическую форму, финансовую независимость. Считает, что конечная цель — быть собой, но всегда есть над чем работать.","Конечная моя цель – это быть самим собой. Но есть вещи, которые надо всегда изменить.","Самокритика, стремление к развитию","Саморазвитие, здоровье, финансовая независимость","Респондент демонстрирует установку на постоянное самоусовершенствование, что характерно для современных городских жителей среднего класса.",декларация,,,True,
8,Рефлексия над интервью и опытом участия,Открытость новому опыту и самонаблюдение,"Респондент отмечает, что участие в интервью позволило ему посмотреть на себя со стороны, осознать некоторые свои черты и получить новый опыт общения.","Я как раз вижу себя со стороны, получается... Я, если не ошибаюсь, извлекаю в пользу общения.","Удивление, благодарность, интерес","Открытость, рефлексия, коммуникация","Респондент ценит возможность самонаблюдения и рефлексии, что свидетельствует о высоком уровне самосознания.",эпизод,,,True,
9,Гражданская позиция и политическая рефлексия,Отношение к обществу и государству,Респондент выражает разочарование пассивностью сограждан и формальным отношением к государственным праздникам. Критикует показную патриотичность и отсутствие подлинной вовлеченности.,"Все всё понимают, все всё знают, все всё замечают, но никто ничего не говорит, никто ничего не делает.","Разочарование, критика, отстраненность","Гражданская активность, искренность, самостоятельность","Респондент демонстрирует критическую гражданскую позицию, отмечает разрыв между официальной риторикой и реальным отношением людей к государству и праздникам.",декларация,,,True,
10,"Завершение интервью, обратная связь",Оценка участия в исследовании и интерес к его целям,"Респондент впервые участвует в подобном интервью, проявляет интерес к целям исследования и выражает сомнения относительно конечного использования данных.","Мне было просто интересно, что вообще-то такие вещи существуют и для чего они существуют.","Интерес, недоумение, открытость","Любознательность, открытость новому","Респондент относится к исследованию с интересом, но с недоверием к целям и возможному использованию результатов, что типично для информированных, но критически настроенных участников.",эпизод,,,True,
1,Завершение взаимодействия с организацией,Отстранённость от институциональных процедур,Респондент отмечает отсутствие контакта с другой стороной по выплатам и не считает необходимым поддерживать связь.,"Мы с ними не контактируем. Я даже не знаю, кто там на другой стороне по выплатам.","Безразличие, дистанция","Автономия, независимость","Демонстрируется отчуждённость от институциональных структур, характерная для позднесоветских и постсоветских практик, когда формальные процедуры воспринимаются как нечто внешнее и не требующее личного участия.",декларация,неуточнённая организация по выплатам,,,False
2,Рефлексия после интервью,Оценка пользы разговора,"Респондент подтверждает, что разговор был полезен и для него, отмечая, что узнал много нового.","Полезен, полезен. Я думаю, тоже много чего знаю.","Благодарность, удовлетворение","Открытость к новому опыту, саморазвитие",Респондент демонстрирует готовность к рефлексии и ценит возможность обмена знаниями даже в формальном интервью.,декларация,,,True,
003,Завершение коммуникации,Прощание и эмоциональная разрядка,"В финале интервью респондент использует неформальное выражение, возможно, для снятия напряжения или как проявление усталости.","Заядутся, уронуются, да и...","Усталость, ирония","Самоирония, дистанция","Фраза может быть интерпретирована как способ завершить разговор на неформальной ноте, что типично для устной коммуникации в российском контексте.",эпизод,,,True,
